id	component1	component2	class
186	-0.999971055688877	0.539146047211269	150
187	-0.565812755686856	0.401418577037478	150
188	-0.925516823573087	-0.27115134399576	150
189	-0.107819540599796	0.70147491708692	150
190	-1.26737946366244	1.54379171350719	150
191	-0.174853663264311	-0.175717794099425	150
192	-0.487163128112674	0.265521885255923	150
193	-0.81233504558013	0.684055922617647	150
194	-1.22016393702712	1.04891832626203	150
195	-0.767581212483635	0.120744443283713	150
196	-0.363874424632169	-0.564418990884154	150
197	-0.403591853196157	0.627700994769051	150
198	-1.20503162891935	0.657266670473071	150
199	-0.966552848012114	0.605786541326989	150
200	0.354116368080074	-0.425725339355573	150
201	-1.25340811188314	1.44396767082977	150
202	-0.85938032252197	1.22038775716999	150
203	-0.143216017304875	1.57653900155769	150
204	0.046217824502619	-1.05404160123979	150
205	-0.525562685077314	-0.890751244588728	150
206	-1.11295858255969	1.57710774742979	150
207	0.0176122616549741	-0.256816621950978	150
208	0.400167010911739	1.90929180384512	150
209	-0.750163661366138	0.413144363474809	150
210	-1.4136587478053	-1.02821537180182	150
211	-1.12400874673252	-0.948757945747403	150
212	-1.43187575765211	2.12140709424366	150
213	-0.645035548006509	0.327334493068237	150
214	-0.982465997023599	-0.270620582585181	150
215	-0.541660819336638	-2.99366491172487	150
216	-0.754203283383912	-3.4341678492686	150
217	-0.350855855628352	0.960988590660824	150
218	0.0464517167458431	-0.959605440045986	150
219	-1.0989826804078	0.406075318910722	150
220	0.201368430290569	-0.348433740840284	150
221	-1.09068607591911	-0.284593631636932	150
222	-0.797146021146055	-0.735012698709644	151
223	-0.0244891993235933	2.4556655579707	151
224	-1.12196050465437	0.835941665761165	151
225	-0.149719532849554	-0.0849100147049414	151
226	-0.196765925342271	1.18806896935623	151
227	0.214023269252489	1.31597212058225	151
228	-0.338335692143507	1.47380699405259	151
229	-0.41269220575991	-2.21247823435499	151
230	0.35176824958908	-0.195440049000024	151
231	-0.577047259527154	-0.782279984800779	151
232	-0.237928075803222	1.23865536965803	151
233	0.205027618239375	0.306925623820769	151
234	0.278104652827261	1.68648950649386	151
235	0.200259043698764	-3.36838326041707	151
236	0.0756674013927409	-0.608342110685618	151
237	-0.242429380388002	1.2625283095924	151
238	0.153242379888057	1.49756341751993	151
239	-1.11050104988712	0.927189680924071	151
240	-0.405514093513436	-0.71226845335361	151
241	-1.30813864867663	0.0121059000221166	151
242	-0.0244680470864508	0.0689284683729162	151
243	-0.365009169529825	-0.651776585155042	151
244	0.240913467506009	-1.97880935091688	151
245	-0.525482175253023	1.05792684993079	151
246	-0.907412756535846	0.737319604298371	151
247	-0.18901258788379	-0.380198215721659	151
248	0.22413209196906	-0.130081226247116	151
249	-0.480299559726026	-2.62457013816365	151
250	-0.573853240985059	0.317396401168145	151
251	-0.948143312181732	0.892258106083078	151
252	-0.600193647318406	-1.91405578945267	151
253	-2.40921023580942	2.04977522446849	151
254	-0.173603608152295	0.624358703648023	151
255	0.340735810446307	-0.190759340866227	151
256	-0.0114340375804118	-0.500726916388683	151
257	-0.433912625969677	1.1623809080215	151
258	-1.55197473298268	1.43970796392744	151
259	-0.0377265191986138	0.29819267198053	151
260	-0.663125605726018	1.35256945246792	151
261	-0.250490757761373	-1.24651241963464	151
262	0.178495982963163	-0.281865359390465	151
263	0.213124160260812	0.657115323662101	151
264	-1.36472960992329	-0.0420520092467227	151
265	0.122610889399091	-0.742358120526926	151
266	-1.09493308458068	0.857781963566137	151
267	-0.25704704701595	-2.06196751194824	151
268	-0.156053611937031	0.711478907685926	152
269	0.0951664135511944	-0.435954974354753	152
270	-0.0718604949912397	0.348873976106618	152
271	-0.550890456386508	1.26405206286364	152
272	0.0147263669012502	0.0781038981922324	152
273	0.613761548961967	0.10103429807946	152
274	0.156207422032118	-0.0103119424643216	152
275	-0.171064735247756	1.99611047105418	152
276	-1.53622403914364	1.61326527077868	152
277	0.62133497731118	0.265865643201096	152
278	0.506531854407401	0.267089201737118	152
279	0.0180579965287402	-2.30615169386985	152
280	-0.143860814028875	0.659256574137533	152
281	-1.40996898697202	1.7728367459721	152
282	0.727934416392375	0.654470596808996	152
283	-0.716610732805591	1.34786152903287	152
284	-0.0062403053584183	0.198359626341753	152
285	-1.54137212998388	1.99851471072703	152
